Date,State,Cases,Deaths,Month,Year,Total Daily Cases US,Total Daily Deaths US,RatioCases,RatioDeaths,Explanation
3/1/2020,Arizona,1,0,3,2020,88,3,0.011363636,0,"<p>Summary of key takeaways for this month:</p>
<ol>
<li>New cases are being reported throughout the country nearly every day. Many are people who have recently returned from China, including a college student from Boston and a woman in California who returned from Wuhan.</li>
<li>Two more cases of local person-to-person transmission are reported in California.</li>
<li>On February 5, the twelfth case is discovered: another college student from Wisconsin.</li>
<li>From February 12 to 15, three more cases are confirmed, all who travelled from Wuhan, and are similarly quarantined. New cases continued to show up in California and Illinois.</li>
<li>New York announces the state's first reported case of COVID-19: a woman in her late 30s, who apparently contracted the virus while traveling in Iran and is self-isolating at home, in NYC.</li>
<li>On February 6, 57-year-old Patricia Dowd of San Jose, California became the first Covid-19 death in the United States discovered by April 2020.</li>
</ol>"
3/1/2020,California,33,1,3,2020,88,4,0.375,0.25,
3/1/2020,Florida,2,0,3,2020,88,4,0.022727273,0,
3/1/2020,Illinois,3,0,3,2020,88,4,0.034090909,0,
3/1/2020,Massachusetts,1,0,3,2020,88,4,0.011363636,0,
3/1/2020,Nebraska,13,0,3,2020,88,4,0.147727273,0,
3/1/2020,New York,1,0,3,2020,88,4,0.011363636,0,
3/1/2020,Oregon,2,0,3,2020,88,4,0.022727273,0,
3/1/2020,Rhode Island,2,0,3,2020,88,4,0.022727273,0,
3/1/2020,Texas,11,0,3,2020,88,4,0.125,0,
3/1/2020,Utah,1,0,3,2020,88,4,0.011363636,0,
3/1/2020,Washington,17,3,3,2020,88,4,0.193181818,0.75,
3/1/2020,Wisconsin,1,0,3,2020,88,4,0.011363636,0,
3/1/2020,Alabama,0,0,3,2020,88,4,0,0,
3/1/2020,Alaska,0,0,3,2020,88,4,0,0,
3/1/2020,Arkansas,0,0,3,2020,88,4,0,0,
3/1/2020,Colorado,0,0,3,2020,88,4,0,0,
3/1/2020,Connecticut,0,0,3,2020,88,4,0,0,
3/1/2020,Delaware,0,0,3,2020,88,4,0,0,
3/1/2020,District of Columbia,0,0,3,2020,88,4,0,0,
3/1/2020,Georgia,0,0,3,2020,88,4,0,0,
3/1/2020,Guam,0,0,3,2020,88,4,0,0,
3/1/2020,Hawaii,0,0,3,2020,88,4,0,0,
3/1/2020,Idaho,0,0,3,2020,88,4,0,0,
3/1/2020,Indiana,0,0,3,2020,88,4,0,0,
3/1/2020,Iowa,0,0,3,2020,88,4,0,0,
3/1/2020,Kansas,0,0,3,2020,88,4,0,0,
3/1/2020,Kentucky,0,0,3,2020,88,4,0,0,
3/1/2020,Louisiana,0,0,3,2020,88,4,0,0,
3/1/2020,Maine,0,0,3,2020,88,4,0,0,
3/1/2020,Maryland,0,0,3,2020,88,4,0,0,
3/1/2020,Michigan,0,0,3,2020,88,4,0,0,
3/1/2020,Minnesota,0,0,3,2020,88,4,0,0,
3/1/2020,Mississippi,0,0,3,2020,88,4,0,0,
3/1/2020,Missouri,0,0,3,2020,88,4,0,0,
3/1/2020,Montana,0,0,3,2020,88,4,0,0,
3/1/2020,Nevada,0,0,3,2020,88,4,0,0,
3/1/2020,New Hampshire,0,0,3,2020,88,4,0,0,
3/1/2020,New Jersey,0,0,3,2020,88,4,0,0,
3/1/2020,New Mexico,0,0,3,2020,88,4,0,0,
3/1/2020,North Carolina,0,0,3,2020,88,4,0,0,
3/1/2020,North Dakota,0,0,3,2020,88,4,0,0,
3/1/2020,Northern Mariana Islands,0,0,3,2020,88,4,0,0,
3/1/2020,Ohio,0,0,3,2020,88,4,0,0,
3/1/2020,Oklahoma,0,0,3,2020,88,4,0,0,
3/1/2020,Pennsylvania,0,0,3,2020,88,4,0,0,
3/1/2020,Puerto Rico,0,0,3,2020,88,4,0,0,
3/1/2020,South Carolina,0,0,3,2020,88,4,0,0,
3/1/2020,South Dakota,0,0,3,2020,88,4,0,0,
3/1/2020,Tennessee,0,0,3,2020,88,4,0,0,
3/1/2020,Vermont,0,0,3,2020,88,4,0,0,
3/1/2020,Virgin Islands,0,0,3,2020,88,4,0,0,
3/1/2020,Virginia,0,0,3,2020,88,4,0,0,
3/1/2020,West Virginia,0,0,3,2020,88,4,0,0,
3/1/2020,Wyoming,0,0,3,2020,88,4,0,0,
